Response	Gene ENSEMBL ID
PHA-665752	C9orf53
PHA-665752	ENSG00000002016
PHA-665752	ENSG00000227855
PHA-665752	ENSG00000204947
PHA-665752	ENSG00000110696
PHA-665752	ENSG00000141569
PHA-665752	ENSG00000183690
PHA-665752	ENSG00000183196
PHA-665752	ENSG00000183762
PHA-665752	KIAA0182
PHA-665752	ENSG00000099992
PHA-665752	ENSG00000096080
PHA-665752	ENSG00000215193
PHA-665752	ENSG00000105989
PHA-665752	ENSG00000237515
PHA-665752	ENSG00000227199
PHA-665752	ENSG00000134297
PHA-665752	ENSG00000148672
PHA-665752	LOC100506271
PHA-665752	ENSG00000163762
PHA-665752	ENSG00000100994
PHA-665752	ENSG00000113389
PHA-665752	ENSG00000122548
PHA-665752	ENSG00000084733
PHA-665752	ENSG00000100225
PHA-665752	ENSG00000100410
PHA-665752	ENSG00000103335
PHA-665752	ENSG00000110344
PHA-665752	LOC170425
PHA-665752	ENSG00000084731
PHA-665752	ENSG00000134769
PHA-665752	LOC100216545
PHA-665752	ENSG00000049323
PHA-665752	ENSG00000182378
PHA-665752	FAM70B
PHA-665752	ENSG00000135083
PHA-665752	ENSG00000143061
PHA-665752	LOC100505782
PHA-665752	ENSG00000124688
PHA-665752	ENSG00000100142
PHA-665752	ENSG00000158163
PHA-665752	ENSG00000115525
PHA-665752	ENSG00000275199
PHA-665752	ENSG00000123595
PHA-665752	ENSG00000163395
PHA-665752	LOC729164
PHA-665752	ENSG00000132005
PHA-665752	LOC100506496
PHA-665752	ENSG00000102755
PHA-665752	ENSG00000105821
PHA-665752	ENSG00000100403
PHA-665752	LOC100507391
PHA-665752	ENSG00000138111
PHA-665752	ENSG00000198914
PHA-665752	ENSG00000100387
PHA-665752	LOC100127888
PHA-665752	ENSG00000081870
PHA-665752	ENSG00000119878
PHA-665752	ENSG00000143473
PHA-665752	ENSG00000004866
PHA-665752	LOC388692
PHA-665752	C3orf24
PHA-665752	ENSG00000185324
PHA-665752	ENSG00000007237
PHA-665752	ENSG00000162779
PHA-665752	ENSG00000126858
PHA-665752	LOC100507424
PHA-665752	ENSG00000019991
PHA-665752	ENSG00000176182
PHA-665752	LOC80054
PHA-665752	ENSG00000102001
PHA-665752	ENSG00000182253
PHA-665752	ENSG00000075785
PHA-665752	ENSG00000171812
PHA-665752	ENSG00000147164
PHA-665752	LOC730091
PHA-665752	ENSG00000128016
PHA-665752	ENSG00000232977
PHA-665752	ENSG00000088053
PHA-665752	PPBPL2
PHA-665752	ENSG00000165370
PHA-665752	ENSG00000133710
PHA-665752	ENSG00000169344
PHA-665752	ENSG00000204694
PHA-665752	ENSG00000135638
PHA-665752	ENSG00000184678
PHA-665752	ENSG00000150281
PHA-665752	ENSG00000281690
PHA-665752	ENSG00000091127
PHA-665752	ENSG00000114956
PHA-665752	ENSG00000236927
PHA-665752	ENSG00000187051
PHA-665752	ENSG00000121766
PHA-665752	ENSG00000160678
PHA-665752	LRG_271
PHA-665752	ENSG00000143171
PHA-665752	LOC100506247
PHA-665752	C20orf3
PHA-665752	ENSG00000198874
PHA-665752	ENSG00000268460
PHA-665752	ENSG00000105929
PHA-665752	ENSG00000198729
PHA-665752	ENSG00000166682
PHA-665752	ENSG00000102174
PHA-665752	ENSG00000170956
PHA-665752	ENSG00000257341
PHA-665752	LRG_669
PHA-665752	ENSG00000162512
PHA-665752	ENSG00000115828
PHA-665752	ENSG00000173597
PHA-665752	ENSG00000109819
PHA-665752	ENSG00000140022
PHA-665752	ENSG00000164574
PHA-665752	ENSG00000203907
PHA-665752	ENSG00000183853
PHA-665752	ENSG00000183421
PHA-665752	ENSG00000095739
PHA-665752	ENSG00000166833
PHA-665752	HTA
PHA-665752	LOC387647
PHA-665752	ENSG00000183323
PHA-665752	ENSG00000231624
PHA-665752	ENSG00000131096
PHA-665752	ENSG00000180875
PHA-665752	ENSG00000110090
PHA-665752	ENSG00000132763
PHA-665752	ENSG00000160838
PHA-665752	ENSG00000233838
PHA-665752	ENSG00000167977
PHA-665752	ENSG00000214313
PHA-665752	ENSG00000116473
PHA-665752	ENSG00000115593
PHA-665752	ENSG00000221866
PHA-665752	LOC401320
PHA-665752	ENSG00000237110
PHA-665752	ENSG00000144524
PHA-665752	ENSG00000129317
PHA-665752	ENSG00000121904
PHA-665752	ENSG00000149809
PHA-665752	ENSG00000115233
PHA-665752	ENSG00000033170
PHA-665752	ENSG00000158373
PHA-665752	ENSG00000132963
PHA-665752	ENSG00000069188
